dat...date.name.,SPOUT.LEFT.BOTTOM.1FI33513.PV,ROOF.HT.BAY.TOTAL.PWR.1CLBAYTOT_CPV,l_n.2_glass,TMP.GLASS..LEFT.EXIT.1TIC30109.PV,S_AB7_C4_L,re_btm_up_dn,cluster
2016-01-11 07,-1.720545088,-0.234974313,4.832495353,-4.846904421,1.673867822,1.904174618,-1.654860588
2016-01-11 08,-1.760977275,-0.229098512,4.831134654,-4.846904421,1.719092211,1.815947604,-1.654860588
2016-01-11 09,-1.777726513,-0.198857547,4.825992832,-4.846904421,1.770069221,1.793824896,-1.654860588
2016-01-11 10,-1.679009891,-0.165343423,4.826210183,-4.846904421,1.771366717,1.788551077,-1.654860588
2016-01-11 11,-1.513132206,-0.145290126,4.826097318,-4.846904421,1.750297448,1.811046331,-1.654860588
2016-01-11 12,-1.402804236,-0.070278409,4.828714303,-4.846904421,1.736030232,1.882974439,-1.654860588
2016-01-11 13,-1.315699496,-0.092228482,4.837070699,-4.846904421,1.686128677,1.885231486,-1.654860588
2016-01-11 14,-1.216495781,-0.113348547,4.845483082,-4.846904421,1.669653373,1.875645359,-1.654860588
2016-01-11 15,-1.160766472,-0.142158593,4.850902661,-4.846904421,1.665641746,1.886454549,-1.654860588
2016-01-11 16,-1.129238048,-0.192567403,4.857015616,-4.846904421,1.642052856,1.883034555,-1.654860588
2016-01-11 17,-1.149341569,-0.281218396,4.856364042,-4.846904421,1.671866454,1.564982142,-1.654860588
2016-01-11 18,-1.24333978,-0.283701544,4.835372234,-4.846904421,1.731302865,1.595997339,-1.654860588
2016-01-11 19,-1.31672638,-0.248054751,4.84263734,-4.846904421,1.734485425,1.885103054,-1.654860588
2016-01-11 20,-1.410742592,-0.225205557,4.851111769,-4.846904421,1.721616141,1.961155881,-1.654860588
2016-01-11 21,-1.484591671,-0.306529512,4.854948339,-4.846904421,1.685951161,1.975796879,-1.654860588
2016-01-11 22,-1.549042065,-0.322119798,4.851911061,-4.846904421,1.679386571,1.978966557,-1.654860588
2016-01-11 23,-1.606807675,-0.269178669,4.847418408,-4.846904421,1.645788652,1.968121898,-1.654860588
2016-01-12 00,-1.644035132,-0.276008542,4.83661115,-4.846904421,1.60767802,1.924139098,-1.654860588
2016-01-12 01,-1.67382387,-0.294540581,4.834183787,-4.846904421,1.563868011,1.947479764,-1.654860588
2016-01-12 02,-1.70292113,-0.292318668,4.836573391,-4.846904421,1.501342909,1.949111824,-1.654860588
2016-01-12 03,-1.731949143,-0.251716873,4.832729244,-4.846904421,1.583165098,1.487043278,-1.654860588
2016-01-12 04,-1.775880749,-0.232423148,4.876817508,-4.846904421,1.645582719,1.685417064,-1.654860588
2016-01-12 05,-1.81887942,-0.231158177,4.848761716,-4.846904421,1.633959532,1.956189006,-1.654860588
2016-01-12 06,-1.866394933,-0.238543453,4.846258888,-4.846904421,1.672047423,2.041299356,-1.654860588
2016-01-12 07,-1.908328256,-0.22877228,4.842264924,-4.846904421,1.729098026,2.06568559,-1.654860588
2016-01-12 08,-1.932426918,-0.222752473,4.838724113,-4.846904421,1.737761411,2.083603793,-1.654860588
2016-01-12 09,-1.931282954,-0.319900001,4.83603285,-4.846904421,1.672796333,2.095444068,-1.654860588
2016-01-12 10,-1.828683942,-0.376346104,4.8320521,-4.846904421,1.631086692,2.106889483,-1.654860588
2016-01-12 11,-1.653601727,-0.443849499,4.831624054,-4.846904421,1.620010141,2.112454745,-1.654860588
2016-01-12 12,-1.517999221,-0.478881558,4.8328186,-4.846904421,1.617202275,2.124280052,-1.654860588
2016-01-12 13,-1.391056918,-0.476796022,4.839041242,-4.846904421,1.606759596,2.125710893,-1.654860588
2016-01-12 14,-1.272802158,-0.459109512,4.842841527,-4.846904421,1.645409957,2.129728466,-1.654860588
2016-01-12 15,-1.196171118,-0.4490782,4.839126386,-4.846904421,1.700046025,2.137616089,-1.631593776
2016-01-12 16,-1.160411079,-0.463335195,4.841295291,-4.846904421,1.707076547,2.129853376,-1.631593776
2016-01-12 17,-1.208571127,-0.489946178,4.84044887,-4.846904421,1.701749163,2.071603683,-1.631593776
2016-01-12 18,-1.283165362,-0.457784417,4.834616554,-4.846904421,1.720557168,2.044994104,-1.631593776
2016-01-12 19,-1.339649169,-0.45713928,4.837296513,-4.846904421,1.672208011,2.026136428,-1.631593776
2016-01-12 20,-1.399912965,-0.437996434,4.841414827,-4.846904421,1.635250085,2.012558079,-1.631593776
2016-01-12 21,-1.458030409,-0.415313453,4.843214127,-4.846904421,1.591684275,2.017926282,-1.631593776
2016-01-12 22,-1.496853099,-0.429204183,4.838985489,-4.846904421,1.58888684,2.02507953,-1.631593776
2016-01-12 23,-1.538111016,-0.445279323,4.837312806,-4.846904421,1.564425897,2.039897666,-1.631593776
